
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.023 Mbyte     virtual= 17.191 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.191 Mbyte     virtual= 17.191 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.336 Mbyte     virtual= 17.191 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.336 Mbyte     virtual= 17.191 Mbyte     
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.336 Mbyte     virtual= 17.191 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.3    ctime=00:00:00.4    rss= 41.465 Mbyte     virtual= 30.992 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 41.465 Mbyte     virtual= 30.992 Mbyte     

  4. Frequency 3.75 GHz                             : etime=00:00:01.2    ctime=00:00:03.7    rss=135.023 Mbyte     virtual=215.566 Mbyte     
     1. Frequency 3.75 GHz                          : etime=00:00:01.2    ctime=00:00:03.6    rss=134.289 Mbyte     virtual=215.395 Mbyte     
        1. constructing matrix                      : etime=00:00:00.3    ctime=00:00:01.3    rss= 42.219 Mbyte     virtual= 32.523 Mbyte     
           1. 1d                                    : etime=00:00:00.0    ctime=00:00:00.0    rss= 42.219 Mbyte     virtual= 32.363 Mbyte     
           2. 3d                                    : etime=00:00:00.2    ctime=00:00:00.9    rss= 42.219 Mbyte     virtual= 32.523 Mbyte     
           3. 2d                                    : etime=00:00:00.1    ctime=00:00:00.4    rss= 42.219 Mbyte     virtual= 32.523 Mbyte     
        2. setup direct solver PARDISO (LU-factorization): etime=00:00:00.7    ctime=00:00:01.8    rss=130.500 Mbyte     virtual=212.203 Mbyte     
        3. constructing excitation                  : etime=00:00:00.0    ctime=00:00:00.0    rss=131.844 Mbyte     virtual=213.547 Mbyte     
        4. direct solve (backsubstitution)          : etime=00:00:00.0    ctime=00:00:00.1    rss=133.391 Mbyte     virtual=214.902 Mbyte     
        5. error estimation                         : etime=00:00:00.1    ctime=00:00:00.3    rss=133.969 Mbyte     virtual=215.227 Mbyte     
     2. writing circuit results                     : etime=00:00:00.0    ctime=00:00:00.0    rss=135.023 Mbyte     virtual=215.566 Mbyte     
        1. simulated cti-file                       : etime=00:00:00.0    ctime=00:00:00.0    rss=134.434 Mbyte     virtual=215.449 Mbyte     
        2. simulated dataset for ADS                : etime=00:00:00.0    ctime=00:00:00.0    rss=134.805 Mbyte     virtual=215.566 Mbyte     
        3. simulated cti-file for ADS               : etime=00:00:00.0    ctime=00:00:00.0    rss=134.820 Mbyte     virtual=215.566 Mbyte     
        4. RLCK dataset                             : etime=00:00:00.0    ctime=00:00:00.0    rss=134.832 Mbyte     virtual=215.566 Mbyte     

  1. setup                                          : etime=00:00:00.4    ctime=00:00:00.3    rss= 28.602 Mbyte     virtual= 18.277 Mbyte     
     1. loading mesh                                : etime=00:00:00.1    ctime=00:00:00.1    rss= 27.500 Mbyte     virtual= 17.844 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.500 Mbyte     virtual= 17.844 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.500 Mbyte     virtual= 17.844 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.500 Mbyte     virtual= 17.844 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 27.500 Mbyte     virtual= 17.844 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.500 Mbyte     virtual= 17.844 Mbyte     
           1. legacy FindImpedanceLinePathsForIWG [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.0    rss= 27.500 Mbyte     virtual= 17.844 Mbyte     
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.500 Mbyte     virtual= 17.844 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.500 Mbyte     virtual= 17.844 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.500 Mbyte     virtual= 17.844 Mbyte     
     5. setup circuit components                    : etime=00:00:00.1    ctime=00:00:00.1    rss= 28.094 Mbyte     virtual= 18.074 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.1    ctime=00:00:00.1    rss= 28.070 Mbyte     virtual= 18.074 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.500 Mbyte     virtual= 17.844 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.977 Mbyte     virtual= 18.074 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.094 Mbyte     virtual= 18.074 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.094 Mbyte     virtual= 18.074 Mbyte     
